position,lastname,firstname,nationality,age,"date of birth","WST Rider ID","fis code","number of results",points
1,Clark,Kelly,USA,36,"1983-07-26 00:00:00",65566,1470811,"3 / (6)",1000.00
2,Kim,Chloe,USA,19,"2000-04-23 00:00:00",77873,9535393,"3 / (6)",935.03
3,Gold,Arielle,USA,23,"1996-05-04 00:00:00",76874,9535287,"3 / (6)",823.51
4,Cai,Xuetong,CHN,26,"1993-09-26 00:00:00",79864,1129975,"3 / (8)",765.80
5,Mastro,Maddie,USA,19,"2000-02-22 00:00:00",77905,9535389,"3 / (5)",710.61
6,Castellet,Queralt,ESP,30,"1989-06-17 00:00:00",75419,1499921,"3 / (7)",641.10
7,Grimal,Clemence,FRA,25,"1994-03-04 00:00:00",77865,9195071,"3 / (6)",624.74
8,Oe,Hikaru,JPN,24,"1995-08-03 00:00:00",79067,9305241,"3 / (7)",616.86
9,Hight,Elena,USA,30,"1989-08-17 00:00:00",42143,7539968,"3 / (4)",607.62
10,Thovex,Mirabelle,FRA,28,"1991-08-24 00:00:00",72764,9195025,"3 / (7)",577.17
11,Crawford,Holly,AUS,35,"1984-02-10 00:00:00",72758,1049941,"3 / (6)",571.26
12,Teter,Hannah,USA,32,"1987-01-27 00:00:00",50723,7313934,"3 / (5)",567.33
13,Rodriguez,Sophie,FRA,31,"1988-07-07 00:00:00",27981,1756476,"3 / (5)",518.29
14,Arthur,Emily,AUS,20,"1999-04-24 00:00:00",75465,9045073,"3 / (8)",513.15
15,Fenton,Summer,USA,25,"1994-06-19 00:00:00",76965,9535225,"3 / (6)",494.67
16,Edwards,Noelle,USA,22,"1996-12-23 00:00:00",82478,9535272,"3 / (7)",477.58
17,Nicoll,Mercedes,CAN,35,"1983-12-05 00:00:00",64606,1526101,"3 / (3)",470.33
18,Rohrer,Verena,SUI,23,"1996-04-08 00:00:00",82499,9515128,"3 / (5)",466.98
19,Barrett,"Madison Taylor",USA,21,"1998-04-01 00:00:00",79379,9535342,"3 / (4)",441.16
20,Sun,Zhifeng,CHN,,,77458,1129956,"3 / (5)",423.89
21,Bright,Torah,AUS,32,"1986-12-27 00:00:00",43778,1049932,"2 / (2)",412.35
22,Li,Shuang,CHN,27,"1992-06-27 00:00:00",79950,1129977,"3 / (4)",407.52
23,Asaya,Junna,JPN,21,"1998-09-16 00:00:00",87724,9305289,"3 / (3)",402.99
24,Dramise,Jenna,USA,29,"1990-06-30 00:00:00",76962,9535244,"3 / (5)",395.38
25,Imai,Kurumi,JPN,20,"1999-09-24 00:00:00",84354,9305315,"3 / (3)",386.16
26,Irwin,Calynn,CAN,30,"1989-02-24 00:00:00",67468,7105068,"3 / (8)",380.14
27,Liu,Jiayu,CHN,27,"1992-09-17 00:00:00",77457,1129974,"2 / (2)",369.09
28,Purtschert,Nadja,SUI,30,"1989-09-03 00:00:00",72609,9515034,"2 / (2)",350.85
29,Kelly,Kirby,USA,24,"1995-04-06 00:00:00",79278,9535283,"3 / (3)",344.69
30,Tsuyuki,Katie,CAN,37,"1982-03-04 00:00:00",78367,7105024,"3 / (6)",344.24
